wind speed,wind direction,temperature,humidity,pressure,dewpoint,wind speed at 2 meters,solar radiation
3.408,237.3,11.35,30.19,300.2,-7.68,1.17,0.064
3.593,232.2,11.29,30.39,300.2,-7.54,1.22,0.068
3.449,228.2,10.93,31.07,300.1,-7.34,1.15,0.062
3.395,228.8,10.62,32.25,300.1,-6.969,1.072,0.05
3.24,235.9,10.54,33.05,300.1,-6.729,1.195,0.053
2.933,242.7,10.53,33.2,300.1,-6.672,1.14,0.053
2.465,252,10.47,32.29,300.1,-7,0.688,0.047
2.259,3.57,9.3,33.52,300.1,-6.905,1.043,0.049
2.043,356.2,7.95,38.98,300,-6.344,1.035,0.048
1.352,273.4,9.81,39.05,300,-6.288,0.723,0.052
0.765,171.1,11.33,35.72,300,-6.679,0.514,0.046
2.968,46.79,9.59,35.04,299.9,-6.334,1.7,0.032
2.225,48.74,8.07,40.96,299.9,-4.746,1.188,0.043
1.668,69.59,8.18,46,299.9,-3.712,0.797,0.032
2.511,45.97,7.06,51.01,299.9,-2.606,1.064,0.031
3.039,63.59,6.539,57.51,299.8,-1.55,1.54,0.037
2.475,67.04,6.095,60.91,299.8,-1.115,1.032,0.038
2.451,69.38,5.903,62.77,299.8,-1.016,0.918,0.044
2.532,67.41,5.839,64.85,299.8,-0.782,1.113,0.039
3.006,77,5.885,66.38,299.7,-0.49,1.3,0.049
2.29,81.9,5.726,67.42,299.6,-0.338,0.879,0.052
2.052,93.1,5.892,67.94,299.7,-0.263,0.74,0.04
2.373,108.4,5.924,68.32,299.7,-0.226,1.114,0.044
2.854,122.6,5.689,68.38,299.8,-0.413,1.262,0.038
2.282,127.7,5.332,69.58,299.8,-0.434,0.769,0.037
2.103,134.4,5.057,70.2,299.9,-0.524,0.742,0.046
2.569,127.2,5.17,72.3,299.8,-0.17,1.557,0.042
3.255,125.5,5.212,72.3,299.8,-0.169,1.677,0.046
2.674,118.2,5.102,73.5,299.8,0.025,1.387,0.03
2.862,110,4.941,73.6,299.8,0.05,1.565,0.043
2.356,100.5,4.589,74,299.8,-0.125,0.946,0.04
1.747,106.7,4.398,74.8,299.8,-0.22,0.219,0.051
2.346,102.5,4.566,75.5,299.6,-0.193,0.805,0.041
2.401,119.2,4.775,75.7,299.4,-0.237,0.942,0.046
1.843,127.3,4.633,75.9,299.4,-0.36,0.035,0.056
1.886,125.9,4.512,76.7,299.4,-0.332,0.101,0.057
2.259,110.2,4.912,77.8,299.4,0.125,0.732,0.05
1.913,104.3,4.849,76.9,299.3,0.212,0.7,0.036
1.287,95.5,4.697,76.6,299.2,0.213,0.03,0.041
1.452,93.7,4.71,76.8,299.1,0.266,0.568,0.049
1.965,117.2,4.73,76.3,299,-0.139,0.752,0.048
1.722,123.1,4.49,77.5,299,-0.13,0.141,0.044
1.406,110.6,4.456,78.1,299,-0.107,0,0.056
1.459,111.3,4.488,78.7,298.9,0.048,0.011,0.056
1.473,108.1,4.568,78.7,298.8,0.186,0.074,0.05
1.452,102.9,4.604,78,298.7,0.034,0,0.059
1.636,91.8,4.652,78.5,298.6,0.055,0.028,0.046
2.175,96.4,4.698,78.7,298.6,0.095,0.658,0.049
2.326,88.8,4.686,78.8,298.5,-0.047,0.635,0.051
2.677,80.1,4.429,79.2,298.5,-0.229,1.235,0.046
2.006,76.4,4.093,80,298.4,-0.307,0.204,0.049
1.602,88.8,3.904,80.6,298.4,-0.229,0.009,0.044
1.59,96.8,3.868,80.6,298.3,-0.279,0,0.054
1.718,96,3.854,81.3,298.1,-0.172,0.194,0.055
2.199,108.8,3.849,81,298,-0.192,0.584,0.054
2.275,111.7,3.855,80.8,297.9,-0.371,0.653,0.052
2.369,107.5,3.791,81.1,297.9,-0.348,0.776,0.042
2.346,115.6,3.706,80.9,297.9,-0.424,0.689,0.045
2.446,124.7,3.593,81.3,297.8,-0.515,0.87,0.04
2.526,130.2,3.532,82.2,297.8,-0.479,0.797,0.046
2.653,142.5,3.468,82.4,297.8,-0.594,0.753,0.036
2.512,144.8,3.185,82.8,297.7,-0.696,0.575,0.038
2.38,146.8,2.978,83.5,297.7,-0.666,0.481,0.036
2.628,152.1,3.03,83.9,297.7,-0.59,0.722,0.049
2.431,140.8,2.651,83.8,297.8,-0.714,0.502,0.049
2.104,152,2.546,84.3,297.7,-0.747,0.019,0.042
2.298,144.2,2.666,84.6,297.7,-0.636,0.754,0.046
2.379,147,2.839,84.3,297.7,-0.718,0.267,0.05
2.254,138.4,2.811,84.5,297.7,-0.731,0.452,0.049
2.273,121.5,2.828,84.4,297.7,-0.778,0.828,0.05
2.497,128,2.866,84.4,297.7,-0.756,0.663,0.03
2.838,88.9,2.598,84.1,297.8,-0.901,1.482,0.03
3.07,65.62,1.44,85,297.9,-1.182,1.44,0.052
2.45,57.7,1.39,86.6,297.8,-1.002,1.195,0.049
2.369,81.9,1.342,86.6,297.7,-1.19,0.713,0.05
1.378,100.1,1.511,86.9,297.6,-1.25,0,0.045
1.636,92.6,1.521,87.2,297.6,-1.154,0.45,0.045
1.404,94.5,1.542,87,297.6,-1.259,0.018,0.049
1.635,96,1.503,87,297.6,-1.305,0.213,0.047
1.276,98.8,1.58,87,297.5,-1.437,0.139,0.041
0.248,61.83,1.404,87,297.4,-1.61,0.688,0.051
0.83,47.82,1.42,87.2,297.4,-1.807,0.519,0.049
1.597,77.9,1.281,87.4,297.5,-2.148,0.107,0.05
0.881,110.3,1.694,88.2,297.5,-2.098,0.144,0.055
0.084,108,1.416,88.3,297.6,-2.293,0.957,0.056
0.023,100.8,1.444,89.2,297.5,-2.196,0.689,0.069
0.931,21.5,1.4,90,297.4,-2.001,0.948,0.083
0.923,41.18,1.421,90.2,297.3,-2.011,0.521,0.092
0.617,40.44,1.671,90.4,297.2,-1.847,0.341,0.095
0.885,35.69,1.496,90,297.2,-1.884,0.594,0.179
1.568,47.82,1.329,89.8,297.3,-1.965,0.438,0.565
1.433,50.24,1.012,89.9,297.3,-1.931,0.267,1.307
1.798,18.63,0.981,90.3,297.3,-1.871,1.115,2.612
2.539,35.63,0.822,90.3,297.3,-1.844,1.055,4.784
2.18,45.21,0.303,90.7,297.2,-1.723,0.686,12.54
2.222,31.49,0.323,90.7,297.1,-1.537,0.765,27.5
1.869,30.09,0.543,90.5,297.1,-1.441,0.517,41.14
1.666,38.01,1.49,90.2,297.1,-1.27,0.379,54.35
1.916,38.93,1.008,89.8,297,-1.033,0.753,66.9
1.393,9.87,0.958,89,297,-0.83,0.462,79.9
1.248,26.49,1.015,88.3,297.1,-0.598,0.254,93
1.442,11.18,1.136,86.8,297.1,-0.539,0.791,107.3
1.933,30.77,1.284,85.8,297.2,-0.436,1.245,122
1.61,41.01,1.487,85.2,297.3,-0.251,0.939,137.5
1.408,61.61,2.077,84.4,297.2,0.008,1.031,152.9
1.177,49.84,2.628,83.6,297.2,0.417,0.663,161.1
0.527,46.43,3.388,81.5,297.2,0.693,0.256,185.4
1.519,67.07,3.805,79.1,297.1,0.741,1.072,201.8
1.06,63.35,4.2,75.9,297.1,0.704,0.556,218.3
0.343,56.72,5.143,73.5,296.9,0.989,0.193,235
0.505,59.73,5.764,69.88,296.9,0.915,0.36,251.7
1.27,69.67,5.893,68.08,296.8,0.785,0.901,268.5
1.135,94.8,6.281,67.12,296.7,0.895,0.808,285.4
0.577,109.6,7.01,65,296.6,0.974,0.418,302
1.146,112,7.41,62.6,296.6,0.781,0.856,318.1
1.469,116.5,7.47,62.1,296.5,0.777,1.159,334.9
2.301,99.4,7.15,62.22,296.4,0.811,1.857,350.6
2.42,109.6,7.21,63.07,296.3,1.068,2.042,365.6
2.667,98.9,7.67,61.76,296.2,1.11,2.09,380.6
2.75,109.4,8.13,59.79,296.1,1.15,2.2,395.5
2.843,131.6,8.4,57.98,296,1.208,2.102,410.4
3.268,119.3,8.94,55.13,295.9,0.957,2.617,425.3
2.926,118.2,9.41,54.44,295.8,1.223,2.425,439.7
2.993,120.1,9.71,52.94,295.7,1.127,2.447,453.3
3.094,117.5,10.16,51.79,295.6,1.237,2.525,467.5
3.241,116.8,10.85,48.9,295.5,1.031,2.542,480.8
3.366,126.5,11.36,45.67,295.5,0.662,2.665,494
3.019,127.7,11.76,43.57,295.4,0.395,2.395,506.4
3.415,134.9,12.58,40.84,295.3,0.153,2.692,519.3
3.343,130,12.93,38.73,295.1,-0.11,2.58,531.6
4.034,143.8,13.49,35.92,295.1,-0.651,3.133,543.8
4.692,136.4,13.86,34.1,294.9,-0.979,3.625,554.9
5.049,146.7,14.15,33.04,294.7,-1.145,3.755,566.5
4.439,160.5,14.6,32.52,294.8,-0.982,3.335,576.6
4.179,162.5,15.18,31.44,294.8,-0.986,3.08,586.5
3.688,165.8,15.98,28.7,294.7,-1.675,2.81,596.3
4.891,159.4,16.19,27.15,294.5,-2.052,3.575,604.4
5.068,165.3,16.7,24.56,294.4,-3.125,3.75,612.5
4.81,173,17.28,22.32,294.3,-3.907,3.5,620.7
4.562,184.7,17.74,21.16,294.2,-4.225,3.178,628.9
3.987,180.3,18.05,21.22,293.9,-3.973,2.925,636.4
4.887,183.9,18.44,19.9,293.7,-4.417,3.583,644.9
4.18,185.3,18.97,18.71,293.6,-4.828,3.025,651.9
4.936,185.5,19.61,16.88,293.4,-5.67,3.608,659.1
5.714,202.3,19.79,15.04,293.3,-6.887,3.72,664.7
5.94,200.5,20.56,14.48,293.1,-6.875,3.998,669.4
7.9,199.2,20.24,13.82,292.9,-7.54,5.303,673.7
6.878,190.9,20.33,13.86,292.8,-7.48,4.693,678.2
7.46,199,20.76,13.56,292.8,-7.54,5.175,683.4
6.966,205.3,20.88,13.58,292.7,-7.4,4.615,686.8
8.55,195.4,20.82,13.46,292.6,-7.47,5.608,689
7.43,204.2,20.78,13.69,292.4,-7.27,4.935,692.3
